Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobSatisfaction,RelationshipSatisfaction,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,36.0,Travel_Rarely,Research & Development,5,4,Life Sciences,1,4,1,1.0,0,0
No,,Travel_Frequently,Sales,1,3,Life Sciences,1,1,5,3.0,1,3
No,35.0,Travel_Rarely,Research & Development,4,2,Other,4,3,1,0.0,0,0
No,27.0,Travel_Rarely,Research & Development,2,4,Life Sciences,1,4,1,0.0,0,0
Yes,26.0,Travel_Rarely,Research & Development,25,3,Life Sciences,3,3,1,,0,1
No,27.0,Travel_Frequently,Sales,8,3,Life Sciences,3,4,9,8.0,1,7
No,30.0,Travel_Frequently,Research & Development,1,2,Medical,4,4,12,8.0,3,7
Yes,41.0,Travel_Rarely,Research & Development,12,3,Technical Degree,3,4,22,15.0,15,8
No,34.0,,Sales,23,4,Marketing,3,3,9,5.0,8,7
No,37.0,,Research & Development,19,2,Life Sciences,2,1,1,0.0,0,0
No,46.0,,Sales,5,4,Marketing,4,3,9,,0,8
No,35.0,Travel_Rarely,Research & Development,8,1,Life Sciences,4,4,1,,0,1
Yes,48.0,Travel_Rarely,Research & Development,1,2,Life Sciences,3,4,1,,0,0
Yes,28.0,Travel_Rarely,Research & Development,5,4,Technical Degree,3,3,2,2.0,2,2
No,44.0,Travel_Rarely,Sales,1,5,Marketing,1,3,4,3.0,1,3
No,,Non-Travel,Research & Development,32,2,Medical,1,3,4,0.0,2,3
No,26.0,Travel_Rarely,Sales,23,3,Marketing,4,3,2,2.0,0,0
No,33.0,Travel_Frequently,Research & Development,1,2,Life Sciences,4,3,15,,8,12
No,35.0,Travel_Frequently,Sales,18,5,Life Sciences,1,4,9,8.0,1,8
No,35.0,Travel_Rarely,Research & Development,23,4,Medical,1,3,2,2.0,2,2
No,31.0,Travel_Rarely,Research & Development,7,4,Life Sciences,4,4,7,7.0,1,7
No,37.0,Travel_Rarely,Research & Development,1,4,Life Sciences,3,3,7,5.0,0,7
No,32.0,Travel_Rarely,Research & Development,1,3,Medical,4,2,9,8.0,7,8
No,38.0,Travel_Frequently,Research & Development,29,5,Life Sciences,4,4,10,,9,9
No,50.0,Travel_Rarely,Research & Development,7,2,Medical,3,4,27,3.0,13,8
No,59.0,Travel_Rarely,Sales,25,3,Life Sciences,1,4,21,16.0,7,9
No,36.0,Travel_Rarely,Research & Development,8,3,Technical Degree,3,2,17,14.0,12,8
No,55.0,,Research & Development,8,3,Medical,3,3,5,0.0,0,2
No,36.0,Travel_Frequently,Research & Development,11,3,Life Sciences,2,3,6,5.0,0,3
No,45.0,Travel_Rarely,Research & Development,7,3,Life Sciences,1,3,1,0.0,0,0
No,35.0,Travel_Frequently,Research & Development,1,3,Medical,1,4,3,2.0,1,2
Yes,36.0,Travel_Rarely,Research & Development,9,3,Medical,3,1,1,0.0,0,0
No,59.0,Travel_Frequently,Sales,1,1,Life Sciences,3,4,4,3.0,1,3
No,29.0,Travel_Rarely,Research & Development,2,3,Life Sciences,2,4,5,4.0,0,4
No,31.0,,Research & Development,1,4,Medical,2,2,1,1.0,1,0
No,,Travel_Rarely,Research & Development,1,3,Life Sciences,2,2,10,4.0,0,9
No,36.0,Travel_Rarely,Research & Development,6,3,Life Sciences,4,2,1,,0,0
No,31.0,Travel_Rarely,Research & Development,8,4,Life Sciences,4,4,11,7.0,1,8
No,,Travel_Rarely,Sales,1,4,Marketing,1,2,15,,2,8
No,45.0,Travel_Rarely,Research & Development,6,4,Other,1,2,0,0.0,0,0
No,37.0,Travel_Rarely,Research & Development,7,4,Medical,3,1,5,2.0,0,2
No,,,Human Resources,5,2,Medical,2,4,4,2.0,0,2
No,30.0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,3,10,8.0,3,0
No,35.0,Travel_Rarely,Research & Development,1,3,Medical,3,1,6,4.0,0,4
No,55.0,Travel_Rarely,Sales,1,2,Life Sciences,4,4,1,0.0,1,0
No,38.0,Non-Travel,Research & Development,6,3,Medical,4,4,13,11.0,1,9
No,34.0,Travel_Rarely,Research & Development,1,2,Medical,2,3,5,2.0,1,3
No,56.0,,Research & Development,7,3,Life Sciences,4,1,6,4.0,0,2
No,23.0,Travel_Rarely,Sales,2,1,Technical Degree,1,3,0,0.0,0,0
No,51.0,Travel_Rarely,Research & Development,9,4,Life Sciences,4,2,4,2.0,0,3
No,30.0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,1,11,10.0,10,8
Yes,46.0,Travel_Rarely,Sales,9,2,Medical,4,4,9,8.0,4,7
No,40.0,Travel_Frequently,Research & Development,1,4,Life Sciences,2,4,22,3.0,11,11
No,51.0,Travel_Rarely,Sales,21,4,Marketing,4,4,10,7.0,1,0
No,30.0,Travel_Rarely,Sales,4,2,Medical,2,2,11,8.0,2,7
No,46.0,Travel_Frequently,Research & Development,1,3,Medical,1,3,10,9.0,9,5
No,32.0,Travel_Rarely,Sales,6,4,Medical,3,1,11,8.0,5,7
No,54.0,Travel_Rarely,Research & Development,2,4,Technical Degree,3,1,4,3.0,0,3
No,24.0,Travel_Rarely,Sales,3,2,Other,3,1,3,2.0,0,2
No,28.0,Non-Travel,Sales,4,3,Medical,3,2,5,4.0,0,4
No,,Travel_Rarely,Sales,10,4,Medical,3,3,37,10.0,1,8
No,44.0,Non-Travel,Research & Development,23,3,Medical,2,3,3,2.0,1,2
Yes,37.0,Travel_Rarely,Human Resources,6,4,Human Resources,1,4,3,2.0,0,2
No,32.0,,Research & Development,1,1,Life Sciences,1,4,1,0.0,0,0
Yes,20.0,Travel_Frequently,Research & Development,6,3,Life Sciences,4,2,1,0.0,1,0
No,34.0,Travel_Rarely,Research & Development,6,4,Other,3,3,16,13.0,2,10
No,37.0,Non-Travel,Research & Development,2,2,Life Sciences,4,4,1,0.0,0,0
No,59.0,Non-Travel,Human Resources,2,4,Human Resources,4,4,3,2.0,2,2
No,,Travel_Frequently,Research & Development,1,3,Life Sciences,2,1,8,3.0,0,7
Yes,25.0,Travel_Rarely,Sales,5,3,Marketing,3,4,6,4.0,0,3
No,25.0,Travel_Rarely,Research & Development,7,1,Medical,4,3,2,2.0,2,1
No,22.0,Travel_Rarely,Research & Development,15,3,Medical,4,3,0,0.0,0,0
No,51.0,Travel_Frequently,Research & Development,1,4,Medical,1,3,13,12.0,12,8
Yes,34.0,Travel_Frequently,Research & Development,7,3,Life Sciences,3,4,9,7.0,0,6
No,54.0,Non-Travel,Human Resources,26,3,Human Resources,4,3,5,3.0,4,4
No,24.0,Travel_Rarely,Research & Development,18,1,Life Sciences,3,3,5,3.0,1,2
No,34.0,Travel_Rarely,Research & Development,6,4,Life Sciences,2,3,1,0.0,0,0
No,37.0,Travel_Rarely,Sales,3,3,Life Sciences,4,1,5,3.0,1,3
No,34.0,Travel_Rarely,Research & Development,5,3,Medical,1,4,11,10.0,5,8
No,36.0,Travel_Frequently,Sales,11,2,Technical Degree,4,3,9,7.0,2,8
No,36.0,Travel_Rarely,Research & Development,3,2,Life Sciences,4,1,1,0.0,0,0
No,43.0,Travel_Frequently,Sales,26,2,Life Sciences,4,4,25,12.0,4,12
No,30.0,Travel_Frequently,Research & Development,23,3,Life Sciences,3,3,10,,0,9
No,33.0,Non-Travel,Sales,22,2,Marketing,2,1,7,7.0,0,7
Yes,56.0,Travel_Rarely,Research & Development,14,4,Life Sciences,2,1,5,4.0,4,3
No,51.0,Travel_Rarely,Research & Development,6,3,Life Sciences,3,3,20,18.0,15,15
Yes,,Travel_Rarely,Sales,6,4,Life Sciences,3,2,7,7.0,7,7
No,26.0,Travel_Rarely,Research & Development,6,3,Other,2,3,5,4.0,4,3
Yes,58.0,Travel_Rarely,Research & Development,23,4,Medical,4,4,40,10.0,15,6
Yes,19.0,Travel_Rarely,Sales,22,1,Marketing,3,4,0,0.0,0,0
No,22.0,Travel_Rarely,Research & Development,2,1,Technical Degree,4,3,2,1.0,2,1
No,49.0,Travel_Rarely,Research & Development,20,4,Medical,1,3,15,11.0,5,11
No,43.0,Travel_Frequently,Research & Development,28,3,Medical,3,4,3,2.0,1,2
No,50.0,Travel_Frequently,Sales,12,3,Marketing,4,4,2,2.0,2,1
Yes,31.0,Travel_Rarely,Sales,20,3,Life Sciences,3,3,2,2.0,2,2
No,,Travel_Rarely,Sales,9,1,Life Sciences,3,3,9,,0,7
No,,Travel_Rarely,Human Resources,25,1,Life Sciences,3,4,8,7.0,5,7
No,36.0,Travel_Rarely,Research & Development,6,2,Medical,2,4,3,2.0,0,1
Yes,51.0,Travel_Frequently,Research & Development,8,4,Life Sciences,4,4,4,2.0,0,3
No,39.0,Travel_Rarely,Sales,4,4,Life Sciences,3,3,15,11.0,5,9
No,25.0,Travel_Rarely,Sales,28,3,Life Sciences,3,4,2,,2,2
No,30.0,Travel_Rarely,Human Resources,9,3,Human Resources,4,4,11,9.0,4,7
Yes,32.0,Travel_Rarely,Research & Development,9,3,Medical,1,1,5,4.0,0,4
No,45.0,Travel_Rarely,Research & Development,29,3,Medical,4,2,6,5.0,0,3
No,,Travel_Rarely,Research & Development,3,5,Technical Degree,3,2,3,2.0,2,2
No,,,Research & Development,18,3,Life Sciences,3,3,5,4.0,0,4
No,32.0,,Sales,9,2,Medical,4,4,8,7.0,0,7
No,30.0,Travel_Rarely,Research & Development,5,3,Technical Degree,1,4,3,2.0,2,2
No,30.0,Travel_Rarely,Research & Development,2,1,Medical,4,4,5,3.0,1,2
No,41.0,,Research & Development,10,3,Life Sciences,1,2,7,6.0,7,7
No,41.0,Travel_Rarely,Research & Development,9,4,Life Sciences,1,4,5,,1,4
No,19.0,,Research & Development,3,1,Medical,2,4,1,0.0,0,0
No,40.0,Travel_Frequently,Research & Development,26,3,Medical,2,1,20,7.0,2,13
No,35.0,Travel_Rarely,Sales,1,5,Marketing,2,1,10,,0,6
No,53.0,Travel_Rarely,Sales,6,2,Marketing,3,4,7,7.0,4,5
No,45.0,Travel_Rarely,Research & Development,9,3,Life Sciences,2,3,17,9.0,0,15
No,32.0,Travel_Frequently,Sales,8,3,Marketing,4,4,9,8.0,3,7
No,29.0,Non-Travel,Research & Development,1,1,Technical Degree,3,1,10,7.0,0,9
No,51.0,Travel_Rarely,Research & Development,7,4,Medical,3,3,1,0.0,0,0
No,58.0,Travel_Rarely,Research & Development,9,3,Medical,2,2,1,,0,0
No,40.0,,Sales,4,4,Marketing,4,1,12,11.0,2,11
No,34.0,Travel_Frequently,Sales,2,4,Marketing,3,4,4,3.0,1,2
No,22.0,Travel_Rarely,Research & Development,19,1,Medical,4,1,2,2.0,2,2
No,27.0,Non-Travel,Research & Development,9,3,Medical,2,4,2,2.0,2,2
No,28.0,Travel_Rarely,Research & Development,21,3,Medical,4,3,5,2.0,0,2
No,57.0,Travel_Rarely,Research & Development,24,2,Life Sciences,4,2,5,3.0,1,4
No,27.0,Non-Travel,Research & Development,3,3,Medical,3,4,1,1.0,0,1
No,50.0,Travel_Rarely,Research & Development,11,3,Life Sciences,2,2,5,4.0,4,4
No,41.0,Travel_Rarely,Research & Development,14,3,Life Sciences,3,1,9,8.0,1,8
No,30.0,Travel_Rarely,Sales,5,3,Life Sciences,4,3,10,9.0,7,4
No,38.0,Travel_Rarely,Sales,1,4,Life Sciences,4,3,8,3.0,0,7
No,32.0,Travel_Rarely,Research & Development,6,5,Life Sciences,3,1,5,4.0,1,4
No,27.0,Travel_Rarely,Research & Development,17,3,Technical Degree,2,4,5,2.0,1,1
Yes,19.0,Travel_Frequently,Sales,1,1,Technical Degree,1,1,0,0.0,0,0
No,36.0,Travel_Frequently,Research & Development,3,2,Medical,2,3,8,7.0,7,2
No,30.0,Non-Travel,Research & Development,9,3,Medical,1,3,12,9.0,6,10
No,45.0,Travel_Rarely,Sales,4,2,Life Sciences,1,1,5,4.0,0,3
No,56.0,Travel_Rarely,Research & Development,8,3,Life Sciences,1,3,2,2.0,2,2
No,33.0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,1,3,1.0,0,2
Yes,19.0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,3,1,0.0,1,0
No,46.0,Travel_Rarely,Sales,1,2,Marketing,1,3,24,13.0,15,7
No,,Travel_Rarely,Research & Development,9,2,Life Sciences,4,3,2,2.0,2,1
No,31.0,Travel_Rarely,Research & Development,12,1,Medical,4,3,4,2.0,0,2
No,34.0,Travel_Rarely,Research & Development,27,2,Medical,2,4,3,2.0,1,2
Yes,41.0,Travel_Rarely,Sales,20,2,Marketing,2,4,4,3.0,0,2
No,50.0,Travel_Rarely,Research & Development,1,3,Medical,3,4,3,2.0,0,2
No,53.0,Travel_Rarely,Research & Development,13,2,Medical,1,3,4,2.0,1,3
No,33.0,Travel_Rarely,Research & Development,14,3,Medical,2,4,8,7.0,1,6
No,40.0,,Research & Development,4,1,Medical,3,2,20,8.0,9,9
No,55.0,Travel_Rarely,Research & Development,14,4,Medical,2,4,24,15.0,2,15
No,34.0,Travel_Frequently,Research & Development,2,1,Life Sciences,3,3,10,9.0,1,9
No,,Travel_Rarely,Research & Development,3,3,Medical,2,3,7,7.0,1,0
No,52.0,Travel_Rarely,Research & Development,1,4,Life Sciences,3,1,33,18.0,11,9
No,27.0,Travel_Rarely,Research & Development,9,3,Medical,2,4,7,7.0,0,3
Yes,35.0,Travel_Rarely,Research & Development,23,2,Life Sciences,3,1,1,0.0,0,1
No,43.0,Non-Travel,Research & Development,7,3,Medical,4,4,5,4.0,2,2
No,45.0,Non-Travel,Research & Development,2,2,Medical,4,4,20,8.0,11,8
No,37.0,Travel_Rarely,Research & Development,21,3,Life Sciences,1,1,8,7.0,1,7
No,35.0,Travel_Frequently,Research & Development,2,3,Medical,2,4,6,2.0,1,2
No,42.0,Non-Travel,Research & Development,21,2,Medical,3,2,5,3.0,0,2
No,38.0,Travel_Rarely,Research & Development,2,4,Life Sciences,3,2,1,0.0,0,0
No,38.0,,Research & Development,29,3,Technical Degree,4,1,7,7.0,1,7
No,,Travel_Frequently,Research & Development,1,1,Technical Degree,1,3,2,2.0,2,0
No,49.0,Non-Travel,Research & Development,18,4,Life Sciences,4,1,7,7.0,1,7
No,34.0,Travel_Frequently,Research & Development,10,4,Medical,3,4,5,3.0,2,0
No,40.0,Travel_Rarely,Research & Development,19,2,Medical,4,3,7,,3,7
Yes,38.0,Travel_Rarely,Research & Development,29,1,Medical,1,2,1,0.0,0,0
Yes,29.0,Travel_Rarely,Sales,27,3,Marketing,4,4,10,4.0,1,9
No,22.0,Travel_Rarely,Research & Development,5,3,Life Sciences,2,1,4,2.0,2,2
No,36.0,Travel_Frequently,Research & Development,18,1,Medical,4,1,8,1.0,1,7
No,40.0,Non-Travel,Research & Development,9,5,Life Sciences,4,4,3,,0,2
No,46.0,Travel_Rarely,Research & Development,1,4,Medical,1,3,4,2.0,0,3
Yes,32.0,Travel_Rarely,Sales,4,4,Medical,4,3,14,,9,8
No,30.0,Non-Travel,Research & Development,1,1,Life Sciences,3,3,11,8.0,5,8
No,27.0,Travel_Frequently,Sales,20,3,Life Sciences,3,4,7,7.0,0,7
No,51.0,Travel_Rarely,Research & Development,8,4,Life Sciences,2,4,10,9.0,4,7
Yes,30.0,Travel_Rarely,Research & Development,3,3,Technical Degree,1,3,5,2.0,0,4
No,41.0,Travel_Rarely,Sales,6,3,Life Sciences,4,3,1,0.0,0,0
Yes,30.0,Travel_Frequently,Sales,26,4,Marketing,1,3,6,3.0,0,1
Yes,29.0,Travel_Rarely,Research & Development,1,3,Technical Degree,3,4,6,2.0,1,5
No,,Non-Travel,Sales,6,3,Medical,4,4,19,7.0,12,8
No,54.0,Travel_Rarely,Sales,3,3,Marketing,1,4,6,2.0,0,5
No,,Travel_Rarely,Research & Development,5,2,Life Sciences,2,4,13,,3,7
No,33.0,Travel_Rarely,Research & Development,4,4,Medical,2,4,3,2.0,1,1
No,37.0,Travel_Frequently,Research & Development,11,3,Other,4,3,10,8.0,0,7
No,,Travel_Rarely,Sales,3,3,Life Sciences,3,3,16,,5,13
No,31.0,Non-Travel,Research & Development,1,4,Medical,3,4,5,4.0,1,4
No,59.0,Travel_Rarely,Research & Development,3,3,Life Sciences,4,1,1,0.0,0,0
No,37.0,Travel_Frequently,Sales,4,4,Marketing,4,3,9,8.0,5,8
No,29.0,Travel_Frequently,Sales,1,1,Medical,4,4,11,10.0,4,1
No,35.0,Travel_Frequently,Sales,1,3,Marketing,3,1,10,7.0,0,8
Yes,29.0,Travel_Rarely,Research & Development,18,1,Medical,4,3,4,3.0,0,1
No,52.0,Travel_Rarely,Research & Development,54,3,Life Sciences,4,2,2,2.0,2,2
No,42.0,Travel_Rarely,Research & Development,4,2,Technical Degree,4,4,22,17.0,11,15
No,59.0,Travel_Rarely,Human Resources,6,2,Medical,3,4,2,2.0,2,2
No,50.0,Travel_Rarely,Sales,1,4,Medical,4,3,7,0.0,0,6
Yes,33.0,Travel_Rarely,Research & Development,14,3,Medical,4,3,5,4.0,0,4
No,43.0,Travel_Rarely,Sales,16,3,Marketing,4,3,17,13.0,1,9
Yes,33.0,Travel_Rarely,Research & Development,2,2,Life Sciences,1,1,9,7.0,1,7
No,52.0,Non-Travel,Sales,2,4,Life Sciences,3,4,33,7.0,15,12
No,32.0,Travel_Rarely,Sales,4,2,Life Sciences,2,1,4,3.0,1,2
Yes,32.0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,4,3,2.0,1,2
No,39.0,,Research & Development,1,4,Medical,3,3,3,,1,2
No,32.0,Non-Travel,Sales,26,4,Marketing,4,1,3,2.0,2,2
No,41.0,Travel_Rarely,Research & Development,19,2,Life Sciences,1,1,1,0.0,0,0
No,40.0,Travel_Rarely,Research & Development,24,2,Technical Degree,4,1,9,8.0,4,7
No,45.0,,Research & Development,1,3,Other,4,3,24,,1,7
No,31.0,Travel_Frequently,Research & Development,3,4,Medical,3,1,2,2.0,2,2
No,33.0,Travel_Rarely,Research & Development,5,4,Life Sciences,4,3,2,2.0,0,2
No,34.0,Travel_Rarely,Research & Development,2,4,Life Sciences,1,2,11,9.0,5,9
No,37.0,Travel_Rarely,Research & Development,1,2,Medical,1,1,3,1.0,0,2
No,45.0,Travel_Frequently,Research & Development,7,4,Life Sciences,3,4,3,2.0,0,2
Yes,37.0,,Research & Development,10,3,Medical,3,2,1,0.0,0,0
No,39.0,Travel_Frequently,Research & Development,2,4,Technical Degree,3,4,19,6.0,11,8
No,29.0,,Research & Development,15,3,Life Sciences,4,1,6,5.0,1,5
No,42.0,Travel_Rarely,Research & Development,17,2,Life Sciences,1,3,3,2.0,0,2
No,29.0,Travel_Rarely,Sales,20,2,Marketing,4,4,3,2.0,0,2
No,25.0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,4,4,2.0,1,2
No,42.0,Travel_Rarely,Research & Development,2,3,Medical,1,3,9,6.0,7,8
No,40.0,Travel_Rarely,Research & Development,2,2,Medical,3,4,21,7.0,3,9
No,51.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,2,1,0.0,0,0
Yes,31.0,Travel_Frequently,Research & Development,29,2,Medical,2,2,5,4.0,1,4
No,32.0,Travel_Frequently,Research & Development,7,3,Life Sciences,2,3,5,1.0,0,3
No,38.0,Non-Travel,Sales,2,2,Life Sciences,4,4,8,,7,5
No,32.0,Travel_Rarely,Research & Development,2,1,Technical Degree,1,4,6,2.0,0,4
No,46.0,Travel_Rarely,Sales,2,3,Technical Degree,2,2,7,7.0,7,7
Yes,28.0,Travel_Rarely,Research & Development,2,4,Life Sciences,3,3,0,0.0,0,0
No,29.0,Travel_Rarely,Sales,2,3,Medical,2,2,0,0.0,0,0
No,31.0,Travel_Rarely,Research & Development,23,3,Medical,4,2,9,0.0,7,8
No,25.0,Non-Travel,Research & Development,5,2,Life Sciences,1,4,6,3.0,1,5
No,45.0,Travel_Rarely,Research & Development,20,2,Medical,4,2,20,7.0,4,10
No,36.0,Travel_Rarely,Research & Development,6,3,Life Sciences,4,3,15,13.0,10,11
No,55.0,,Research & Development,1,3,Medical,1,3,36,10.0,4,13
Yes,47.0,,Research & Development,29,4,Life Sciences,2,4,10,7.0,9,9
No,28.0,Travel_Rarely,Research & Development,9,3,Medical,4,4,5,2.0,0,4
No,37.0,Travel_Rarely,Sales,6,4,Medical,4,2,5,4.0,0,1
No,21.0,Travel_Rarely,Research & Development,3,2,Medical,3,1,3,2.0,1,0
No,37.0,Non-Travel,Research & Development,1,4,Medical,4,1,5,2.0,0,2
No,35.0,Travel_Rarely,Research & Development,22,3,Life Sciences,2,2,7,7.0,6,2
No,38.0,,Sales,7,2,Medical,1,3,8,0.0,7,7
No,26.0,Travel_Frequently,Research & Development,1,3,Life Sciences,2,1,6,5.0,1,4
No,,Travel_Rarely,Research & Development,4,1,Life Sciences,2,1,10,4.0,1,6
No,53.0,Travel_Rarely,Research & Development,3,4,Medical,3,4,5,3.0,1,3
No,,Travel_Rarely,Sales,1,1,Life Sciences,3,3,20,16.0,11,6
No,29.0,Travel_Frequently,Sales,2,2,Life Sciences,4,1,10,7.0,0,9
No,55.0,Travel_Rarely,Research & Development,20,2,Technical Degree,4,4,10,7.0,0,8
No,26.0,Travel_Frequently,Research & Development,11,2,Medical,1,3,5,3.0,3,3
No,37.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,2,17,12.0,5,7
Yes,44.0,Travel_Frequently,Research & Development,24,3,Life Sciences,3,4,1,0.0,0,0
No,38.0,Travel_Rarely,Research & Development,23,4,Life Sciences,4,2,2,,1,2
Yes,26.0,Travel_Rarely,Research & Development,16,4,Medical,2,4,3,,0,2
No,28.0,Travel_Rarely,Research & Development,8,2,Life Sciences,4,4,5,3.0,0,2
No,49.0,Travel_Frequently,Research & Development,10,4,Life Sciences,1,4,3,2.0,1,2
No,36.0,Travel_Rarely,Research & Development,3,3,Technical Degree,2,4,8,0.0,7,7
No,,Travel_Frequently,Sales,5,3,Marketing,2,3,2,2.0,2,2
Yes,26.0,Travel_Rarely,Sales,4,4,Marketing,4,2,8,7.0,7,4
No,37.0,,Research & Development,9,3,Medical,4,3,4,2.0,1,2
No,42.0,Travel_Frequently,Sales,26,3,Marketing,2,4,20,4.0,4,8
Yes,18.0,Travel_Rarely,Research & Development,3,3,Life Sciences,3,3,0,0.0,0,0
No,35.0,Travel_Rarely,Sales,16,3,Marketing,2,3,11,9.0,6,9
No,36.0,Travel_Frequently,Research & Development,18,4,Life Sciences,4,4,1,0.0,0,0
No,51.0,Travel_Rarely,Research & Development,2,3,Medical,2,4,4,1.0,1,2
No,41.0,Travel_Rarely,Sales,2,4,Life Sciences,2,2,22,10.0,0,4
No,18.0,Travel_Rarely,Sales,10,3,Medical,3,1,0,,0,0
No,28.0,Travel_Rarely,Research & Development,16,2,Medical,1,3,8,3.0,0,7
No,31.0,Travel_Rarely,Sales,7,3,Technical Degree,4,2,8,7.0,7,7
No,39.0,Travel_Rarely,Research & Development,1,3,Medical,4,1,18,10.0,3,7
No,,Non-Travel,Research & Development,24,4,Life Sciences,2,3,9,8.0,0,8
No,32.0,Travel_Rarely,Sales,7,3,Life Sciences,3,3,13,8.0,4,8
No,38.0,Travel_Rarely,Research & Development,25,2,Life Sciences,2,3,10,8.0,0,1
No,58.0,Non-Travel,Research & Development,1,4,Life Sciences,3,4,5,3.0,1,2
No,31.0,Travel_Rarely,Research & Development,5,4,Technical Degree,4,3,5,,0,3
No,,Travel_Rarely,Human Resources,2,3,Human Resources,1,4,2,2.0,1,0
No,45.0,Travel_Frequently,Research & Development,7,3,Life Sciences,1,1,24,9.0,9,11
No,31.0,,Research & Development,2,4,Life Sciences,4,2,2,2.0,2,2
No,33.0,Travel_Frequently,Research & Development,5,4,Life Sciences,2,2,10,6.0,8,8
No,39.0,Travel_Rarely,Research & Development,10,1,Medical,1,4,21,,11,10
No,,Travel_Frequently,Research & Development,10,4,Life Sciences,4,1,8,7.0,1,7
No,49.0,Travel_Rarely,Research & Development,1,2,Technical Degree,3,4,7,1.0,0,7
Yes,52.0,,Research & Development,8,4,Medical,2,1,8,2.0,7,7
No,27.0,Travel_Rarely,Research & Development,5,3,Life Sciences,2,2,4,3.0,1,2
No,32.0,Travel_Rarely,Sales,8,2,Technical Degree,2,4,13,12.0,11,9
No,27.0,Travel_Rarely,Sales,2,3,Life Sciences,3,1,5,4.0,0,4
