Shipment_ID,Route,Carrier,Cargo_Type,Season,Planned_Duration_hr,Actual_Duration_hr,Delay_hr,Route_Deviation_km,Avg_Speed_kmh,Distance_km,Fuel_Consumed_L,Fuel_per_100km,Border_Crossing,Border_Delay_hr,Planned_Stops,Actual_Stops,Cargo_Temp_C,Cargo_Humidity_pct,Shipment_Weight_kg,Declared_Value_USD,Hard_Braking_Events,Speeding_Events,Idle_Time_hr,Maint_Days_Since
85,Astana-Novosibirsk,EuroAsia Cargo,Pharma,Autumn,18.0,24.35,6.35,9.3,58.7,1430,416.3,29.11,1,3.06,3,4,2.9,46.2,8755,678353,1,2,1.48,27
86,Shymkent-Taraz,KazTrans,Automotive,Autumn,3.0,3.42,0.42,23.9,58.4,200,49.6,24.8,0,0.0,1,2,18.4,55.0,5224,281635,3,1,0.27,39
87,Astana-Omsk,SteppeLog,Automotive,Winter,10.0,16.74,6.74,10.1,45.4,760,233.3,30.7,1,4.13,3,4,19.5,43.1,9049,657905,8,3,2.09,13
88,Almaty-Astana,TransCentral,Automotive,Spring,14.0,15.46,1.46,31.8,71.1,1100,329.3,29.93,0,0.0,1,1,16.6,54.1,9784,141970,4,0,0.55,72
89,Shymkent-Taraz,SilkFreight,Automotive,Autumn,3.0,4.79,1.79,10.0,41.7,200,64.4,32.2,0,0.0,1,1,22.6,57.4,14606,812402,3,2,0.12,59
90,Aktobe-Atyrau,SilkFreight,FMCG,Autumn,8.0,12.6,4.6,405.3,44.4,560,163.9,29.27,0,0.0,3,6,21.6,52.2,9351,134521,2,3,6.96,41
91,Almaty-Bishkek,KazTrans,Electronics,Winter,4.0,8.79,4.79,21.9,27.3,240,67.1,27.98,1,3.27,2,2,20.1,34.4,500,3822,2,3,0.48,28
92,Aktau-Atyrau,TransCentral,FMCG,Winter,7.0,8.37,1.37,24.1,57.4,480,132.4,27.57,0,0.0,2,3,17.2,55.9,9816,646786,5,1,1.1,41
93,Astana-Omsk,KazTrans,FMCG,Winter,10.0,15.19,5.19,22.3,50.0,760,231.2,30.43,1,2.72,1,1,16.2,50.3,5331,233540,6,1,2.49,62
94,Almaty-Tashkent,EuroAsia Cargo,Food,Autumn,10.0,16.84,6.84,13.6,41.0,690,158.7,23.0,1,5.04,1,1,0.8,66.4,4077,134381,5,1,1.31,65
95,Astana-Novosibirsk,TransCentral,Pharma,Autumn,18.0,23.3,5.3,17.5,61.4,1430,366.1,25.6,1,3.64,2,3,17.2,88.6,14304,1000,0,2,1.09,17
96,Astana-Novosibirsk,EuroAsia Cargo,FMCG,Spring,18.0,24.2,6.2,30.0,59.1,1430,376.5,26.33,1,3.1,2,2,14.0,48.2,10071,609729,5,4,0.8,14
97,Shymkent-Taraz,KazTrans,Industrial,Summer,3.0,3.79,0.79,0.0,52.8,200,56.3,28.17,0,0.0,3,3,15.8,51.1,14145,342846,5,2,1.27,11
98,Shymkent-Taraz,KazTrans,Electronics,Winter,3.0,4.01,1.01,9.0,49.9,200,55.4,27.72,0,0.0,2,3,19.5,52.0,8597,158543,1,0,0.34,40
99,Almaty-Astana,SteppeLog,Food,Spring,14.0,16.66,2.66,10.3,66.0,1100,316.5,28.77,0,0.0,2,2,3.7,52.2,5076,404068,3,3,0.77,81
100,Almaty-Astana,SteppeLog,Industrial,Summer,14.0,14.66,0.66,3.4,75.0,1100,366.4,33.31,0,0.0,1,1,15.9,51.4,10303,147613,2,2,1.17,75
101,Almaty-Astana,SteppeLog,Pharma,Autumn,14.0,16.3,2.3,0.0,67.5,1100,321.9,29.26,0,0.0,2,2,4.9,49.3,6693,151739,3,0,1.25,16
102,Almaty-Bishkek,SteppeLog,Industrial,Spring,4.0,8.1,4.1,20.3,29.6,240,77.0,32.07,1,2.34,1,1,22.4,49.2,8216,651707,1,2,2.13,66
103,Aktobe-Atyrau,TransCentral,Industrial,Autumn,8.0,9.2,1.2,27.4,60.9,560,158.0,28.21,0,0.0,3,4,14.2,44.2,11732,164766,6,4,0.7,88
104,Astana-Omsk,KazTrans,Industrial,Spring,10.0,12.76,2.76,20.1,59.6,760,218.7,28.78,1,1.72,1,1,16.4,59.8,9437,549471,6,1,1.51,83
105,Astana-Omsk,KazTrans,Electronics,Spring,10.0,15.82,5.82,0.6,48.0,760,231.3,30.43,1,4.22,2,2,15.9,51.9,8672,509389,2,1,0.75,44
106,Almaty-Bishkek,TransCentral,Industrial,Autumn,4.0,7.67,3.67,19.1,31.3,240,84.7,35.27,1,2.42,2,3,22.0,45.7,9765,779472,2,2,0.5,55
107,Almaty-Tashkent,SilkFreight,Pharma,Summer,10.0,15.98,5.98,24.3,43.2,690,203.3,29.46,1,4.53,1,1,7.2,59.2,6952,149681,1,2,1.37,13
108,Shymkent-Taraz,EuroAsia Cargo,Pharma,Autumn,3.0,4.02,1.02,196.7,49.8,200,62.3,31.16,0,0.0,3,7,21.1,57.6,7701,192487,2,0,6.11,27
109,Almaty-Tashkent,KazTrans,Industrial,Winter,10.0,17.34,7.34,31.0,39.8,690,201.9,29.26,1,5.76,3,4,18.2,42.1,9832,591642,4,4,2.09,46
110,Astana-Novosibirsk,SilkFreight,Automotive,Winter,18.0,24.79,6.79,20.0,57.7,1430,459.1,32.11,1,2.9,1,1,15.5,69.0,9072,311712,2,2,1.0,19
111,Astana-Novosibirsk,EuroAsia Cargo,Industrial,Summer,18.0,24.21,6.21,18.4,59.1,1430,423.4,29.61,1,3.85,1,1,15.4,49.3,8462,355277,6,1,2.06,37
112,Almaty-Astana,SilkFreight,Electronics,Winter,14.0,17.99,3.99,19.1,61.1,1100,304.2,27.65,0,0.0,3,3,17.4,57.6,9883,434100,2,1,1.19,77
113,Shymkent-Taraz,SteppeLog,Electronics,Autumn,3.0,3.04,0.04,15.7,65.9,200,53.4,26.7,0,0.0,3,3,23.1,34.0,5468,415511,1,1,1.23,54
114,Almaty-Tashkent,TransCentral,Industrial,Spring,10.0,15.55,5.55,20.6,44.4,690,214.5,31.08,1,3.15,3,3,20.7,56.3,5527,275051,1,2,0.26,68
115,Almaty-Bishkek,EuroAsia Cargo,Industrial,Winter,4.0,8.86,4.86,6.9,27.1,240,66.3,27.62,1,2.89,2,2,17.3,54.9,3239,92085,2,4,1.19,68
116,Astana-Omsk,SilkFreight,Electronics,Summer,10.0,12.68,2.68,31.1,59.9,760,188.4,24.79,1,1.7,3,3,15.0,47.0,7975,81934,1,2,0.74,17
117,Aktau-Atyrau,KazTrans,Pharma,Summer,7.0,7.84,0.84,20.9,61.2,480,132.3,27.57,0,0.0,2,2,2.8,61.2,9099,614587,4,0,0.29,80
118,Shymkent-Taraz,SteppeLog,Industrial,Summer,3.0,3.0,0.0,17.8,66.7,200,62.3,31.14,0,0.0,2,3,21.3,39.1,7808,158838,4,2,0.84,26
119,Astana-Novosibirsk,TransCentral,Food,Autumn,18.0,27.63,9.63,29.7,51.8,1430,455.7,31.87,1,5.13,3,3,2.7,54.4,9811,147237,2,0,1.33,5
120,Aktau-Atyrau,SteppeLog,Pharma,Winter,7.0,9.31,2.31,20.1,51.6,480,351.8,73.29,0,0.0,3,2,15.9,56.1,7549,214286,2,2,1.36,24
121,Aktau-Atyrau,TransCentral,Electronics,Winter,7.0,10.13,3.13,24.6,47.4,480,130.7,27.23,0,0.0,1,1,17.8,52.2,8087,372434,1,2,2.12,70
122,Astana-Novosibirsk,KazTrans,FMCG,Summer,18.0,21.21,3.21,2.6,67.4,1430,368.2,25.75,1,2.4,1,1,18.1,45.4,9853,395416,2,3,1.13,62
123,Almaty-Bishkek,SteppeLog,Industrial,Autumn,4.0,8.99,4.99,0.0,26.7,240,72.8,30.33,1,4.38,3,3,16.5,47.3,4962,51372,1,2,1.35,62
124,Aktau-Atyrau,SilkFreight,Food,Winter,7.0,10.14,3.14,8.9,47.3,480,118.3,24.64,0,0.0,1,1,3.1,47.4,8453,100326,1,1,1.25,15
125,Astana-Novosibirsk,SteppeLog,Industrial,Autumn,18.0,21.57,3.57,18.8,66.3,1430,430.6,30.11,1,0.9,2,3,16.9,56.4,8976,691356,4,2,1.41,29
126,Astana-Novosibirsk,KazTrans,Pharma,Summer,18.0,22.3,4.3,18.1,64.1,1430,418.6,29.28,1,2.25,2,3,3.6,40.4,8288,557266,3,2,1.66,62
127,Astana-Omsk,SilkFreight,Food,Autumn,10.0,13.39,3.39,18.9,56.7,760,194.9,25.64,1,3.04,3,3,4.5,43.6,6883,110182,5,2,1.76,58
128,Almaty-Astana,SteppeLog,Electronics,Spring,14.0,14.63,0.63,31.3,75.2,1100,312.3,28.39,0,0.0,1,2,16.6,39.5,10886,387815,2,0,2.48,35
129,Aktobe-Atyrau,SilkFreight,Food,Spring,8.0,8.45,0.45,8.9,66.3,560,148.5,26.52,0,0.0,3,3,2.3,66.7,7276,249039,2,2,0.83,26
130,Almaty-Tashkent,SilkFreight,Industrial,Winter,10.0,15.42,5.42,14.5,44.8,690,176.9,25.64,1,3.18,2,2,17.2,58.0,8666,275994,5,2,1.18,77
131,Astana-Novosibirsk,SilkFreight,Pharma,Summer,18.0,24.54,6.54,33.5,58.3,1430,388.2,27.15,1,3.9,3,3,3.2,42.6,4834,274622,2,0,0.85,0
132,Almaty-Astana,KazTrans,Automotive,Autumn,14.0,16.63,2.63,23.4,66.1,1100,296.2,26.93,0,0.0,3,4,13.6,37.8,773,4351,10,3,0.67,58
133,Almaty-Astana,SilkFreight,Pharma,Spring,14.0,15.08,1.08,15.3,72.9,1100,324.1,29.47,0,0.0,2,2,5.6,66.5,9606,455119,6,2,1.66,6
134,Shymkent-Taraz,SilkFreight,Industrial,Summer,3.0,3.84,0.84,7.7,52.1,200,50.8,25.39,0,0.0,1,1,13.2,70.2,10273,734341,3,1,0.53,68
135,Astana-Novosibirsk,SteppeLog,Electronics,Autumn,18.0,25.95,7.95,17.0,55.1,1430,383.0,26.78,1,4.82,3,3,18.2,51.9,10756,265094,4,5,0.97,87
136,Almaty-Astana,TransCentral,Automotive,Autumn,14.0,15.25,1.25,0.0,72.1,1100,274.4,24.95,0,0.0,2,2,16.2,47.8,9060,516182,2,1,1.56,62
137,Almaty-Tashkent,SilkFreight,Food,Summer,10.0,15.51,5.51,19.4,44.5,690,201.8,29.24,1,3.94,3,3,2.4,60.6,9784,469423,2,4,1.11,29
138,Almaty-Tashkent,KazTrans,Pharma,Winter,10.0,17.01,7.01,30.8,40.6,690,194.4,28.17,1,5.34,1,1,5.5,53.4,7928,140582,1,3,1.11,6
139,Astana-Omsk,EuroAsia Cargo,Electronics,Summer,10.0,14.05,4.05,35.7,54.1,760,240.5,31.64,1,2.99,2,3,20.7,60.8,9404,182084,8,2,1.3,50
140,Almaty-Bishkek,SilkFreight,Electronics,Winter,4.0,7.19,3.19,20.7,33.4,240,77.4,32.24,1,1.68,2,2,21.0,51.9,9944,508026,5,1,1.05,86
141,Astana-Novosibirsk,EuroAsia Cargo,Pharma,Winter,18.0,27.21,9.21,10.9,52.6,1430,434.4,30.38,1,3.07,3,3,5.9,45.1,6096,386767,0,2,1.6,58
142,Almaty-Astana,SilkFreight,Pharma,Autumn,14.0,16.78,2.78,19.3,65.6,1100,336.9,30.63,0,0.0,1,1,2.4,36.4,7124,353938,2,1,1.01,23
143,Almaty-Tashkent,SilkFreight,Automotive,Autumn,10.0,15.72,5.72,24.9,43.9,690,212.3,30.78,1,4.18,2,3,20.3,40.4,7265,256764,0,2,2.08,28
144,Almaty-Astana,EuroAsia Cargo,Industrial,Summer,14.0,14.41,0.41,18.8,76.4,1100,345.9,31.45,0,0.0,2,2,11.4,58.5,5383,307648,3,3,0.72,62
145,Astana-Omsk,SteppeLog,Electronics,Summer,10.0,34.01,24.01,0.0,22.3,760,217.7,28.64,1,16.97,1,3,24.5,51.8,9878,332538,6,4,2.3,37
