Зарплата,Число транзакций,Target
378000,714,Нет
197000,582,Нет
167000,196,Нет
312000,959,Нет
843000,221,Нет
583000,309,Нет
707000,455,Нет
107000,697,Нет
787000,273,Да
205000,669,Нет
248000,970,Нет
949000,656,Да
888000,623,Да
188000,906,Нет
370000,903,Да
495000,853,Да
277000,500,Нет
494000,708,Да
945000,437,Да
911000,518,Да
660000,618,Да
857000,700,Да
621000,499,Нет
879000,972,Да
154000,502,Нет
935000,842,Да
554000,369,Да
724000,700,Да
701000,711,Да
195000,707,Нет
476000,882,Да
306000,137,Нет
433000,866,Да
530000,248,Нет
946000,897,Да
881000,348,Да
644000,542,Да
967000,242,Да
156000,141,Нет
441000,513,Да
643000,430,Нет
545000,744,Да
963000,745,Да
142000,147,Нет
332000,294,Нет
989000,527,Да
505000,820,Да
125000,129,Нет
344000,222,Нет
766000,212,Нет
834000,143,Нет
901000,896,Да
664000,359,Нет
972000,677,Да
807000,227,Нет
767000,679,Да
644000,897,Да
809000,572,Да
462000,269,Нет
471000,391,Нет
580000,626,Да
491000,215,Нет
810000,700,Да
454000,195,Нет
954000,228,Нет
552000,444,Нет
744000,548,Да
444000,163,Нет
360000,613,Нет
116000,843,Нет
775000,193,Нет
143000,739,Нет
742000,680,Да
869000,211,Нет
969000,543,Да
687000,920,Да
460000,562,Нет
307000,582,Нет
969000,750,Да
297000,424,Нет
816000,702,Да
322000,532,Нет
979000,733,Да
118000,801,Нет
570000,213,Нет
301000,708,Нет
294000,836,Да
728000,692,Да
501000,387,Нет
532000,637,Да
227000,311,Нет
183000,316,Нет
145000,954,Нет
872000,761,Да
772000,449,Да
946000,483,Да
773000,498,Да
698000,232,Нет
915000,456,Да
822000,849,Да
155000,849,Нет
278000,685,Нет
488000,437,Нет
345000,899,Нет
691000,440,Нет
724000,990,Да
384000,776,Да
668000,210,Нет
754000,671,Да
676000,785,Да
360000,607,Нет
101000,747,Нет
448000,670,Нет
467000,155,Нет
300000,548,Нет
512000,168,Нет
352000,605,Да
886000,218,Нет
487000,602,Нет
856000,956,Да
811000,933,Да
490000,245,Нет
731000,751,Да
614000,363,Нет
335000,324,Нет
212000,137,Нет
815000,661,Да
574000,796,Да
720000,470,Нет
456000,598,Нет
362000,319,Нет
270000,676,Нет
118000,465,Нет
434000,371,Нет
384000,203,Нет
933000,571,Да
159000,572,Нет
499000,365,Да
698000,734,Да
958000,432,Да
484000,704,Нет
675000,269,Нет
600000,547,Нет
643000,740,Да
475000,196,Нет
158000,707,Нет
284000,549,Нет
293000,307,Нет
297000,453,Нет
398000,676,Да
504000,186,Нет
832000,295,Нет
143000,569,Нет
113000,611,Нет
477000,989,Да
518000,284,Нет
754000,140,Нет
149000,379,Нет
310000,216,Нет
685000,841,Да
358000,910,Да
589000,661,Да
238000,451,Нет
584000,145,Нет
803000,541,Да
166000,192,Нет
457000,185,Нет
521000,880,Да
315000,607,Нет
488000,191,Нет
214000,943,Да
332000,545,Нет
153000,338,Нет
916000,990,Да
224000,798,Нет
408000,752,Да
538000,676,Да
944000,196,Нет
247000,512,Нет
889000,405,Да
654000,110,Нет
866000,397,Да
193000,350,Нет
196000,956,Нет
507000,939,Да
482000,796,Да
493000,671,Да
309000,948,Да
972000,720,Да
636000,780,Да
245000,927,Нет
514000,129,Нет
553000,812,Да
667000,923,Да
489000,957,Да
401000,156,Нет
951000,838,Да
324000,378,Нет
359000,968,Да
585000,628,Да
113000,365,Нет
598000,113,Нет
941000,711,Да
521000,854,Да
157000,478,Нет
775000,258,Да
878000,675,Да
281000,493,Нет
904000,808,Да
959000,601,Да
363000,913,Да
628000,782,Да
770000,324,Нет
466000,415,Нет
470000,232,Нет
405000,365,Нет
588000,298,Нет
570000,233,Нет
411000,234,Нет
897000,669,Да
816000,455,Да
441000,957,Да
926000,118,Нет
543000,953,Да
649000,829,Да
779000,241,Нет
878000,244,Нет
248000,259,Нет
392000,889,Да
550000,786,Да
582000,293,Нет
781000,812,Да
477000,687,Нет
787000,239,Нет
931000,750,Да
929000,349,Да
561000,848,Да
274000,885,Нет
762000,159,Нет
888000,549,Да
326000,942,Нет
693000,230,Нет
100000,421,Нет
403000,859,Да
